,pdb,antigen_chain,heavy_chain,date,H_CDR1,H_CDR2,H_CDR3
0,8gq5,K,k,2023-01-18,26-32,52-56,98-101
1,7wn0,A,B,2023-02-01,26-32,52-56,98-112
2,7wn1,A,C,2023-02-01,26-32,52-56,98-111
3,8h3y,C,E,2023-02-08,26-32,52-57,99-110
4,8h3x,C,A,2023-02-08,26-32,52-57,99-111
5,8c3l,C,D,2023-03-15,26-32,52-56,98-100
6,8en2,A,D,2023-03-15,26-32,52-57,99-115
7,8en3,B,D,2023-03-15,26-32,52-57,99-113
8,8emz,A,B,2023-03-15,26-32,52-57,99-117
9,8en0,A,D,2023-03-15,26-32,52-57,99-106
10,8bzy,A,B,2023-03-22,25-31,51-56,98-109
11,8f8w,B,C,2023-03-29,26-32,52-56,98-109
12,7uia,A,B,2023-04-05,25-31,51-56,98-117
13,8ont,A,B,2023-04-12,26-32,52-57,99-111
14,8sbb,A,B,2023-04-26,26-32,52-56,98-111
15,8bb7,A,C,2023-05-03,25-31,51-56,98-112
16,8bf4,F,D,2023-05-03,25-31,51-56,98-106
17,7xli,A,B,2023-05-31,26-35,55-60,102-114
18,8aok,A,B,2023-06-14,26-32,52-57,99-116
19,8aom,A,V,2023-06-14,26-32,52-56,98-107
20,8j1n,A,B,2023-06-21,26-32,52-57,99-110
21,8im0,A,B,2023-06-21,26-32,52-56,98-110
22,7ym8,A,D,2023-07-05,26-32,52-55,97-105
23,8dp0,A,B,2023-07-19,26-32,52-56,98-115
24,8ghr,B,D,2023-08-02,25-32,52-57,99-112
25,8c5h,S,N,2023-08-02,26-32,52-57,99-106
26,8b17,A,B,2023-08-09,25-31,51-55,97-111
27,8p7w,A,C,2023-08-30,25-31,51-56,98-112
28,8p8a,A,Z,2023-08-30,26-32,52-57,99-112
29,8p8j,A,Z,2023-08-30,26-32,52-57,99-114
30,7yub,R,N,2023-09-06,24-31,51-56,98-115
31,7z1x,D,F,2023-09-06,26-32,52-57,99-112
32,7z1x,A,B,2023-09-06,25-31,51-55,97-106
33,7zau,G,H,2023-09-27,26-32,52-57,99-113
34,8cni,B,C,2023-09-27,26-32,52-57,99-114
35,8h64,A,B,2023-10-04,25-31,51-54,96-111
36,8h63,A,B,2023-10-04,25-31,51-55,97-108
37,8g0w,F,H,2023-10-04,26-32,52-56,98-109
38,8c9x,E,J,2023-10-11,26-32,52-57,99-111
39,8ce4,D,I,2023-10-11,26-32,52-57,99-113
40,8et0,A,C,2023-10-18,26-32,52-56,98-107
41,8eln,A,C,2023-10-18,26-32,52-56,98-108
42,8be2,S,N,2023-11-01,26-32,52-56,98-106
43,8hbj,A,F,2023-11-01,26-32,52-57,99-114
44,8opr,A,C,2023-11-08,26-32,52-57,99-116
45,8opr,A,B,2023-11-08,26-32,52-56,98-110
46,8qot,A,B,2023-12-27,26-32,52-56,98-112
47,8ozb,E,C,2024-02-28,24-30,50-54,96-107
48,8pyr,A,D,2024-03-06,26-32,52-57,99-104
49,8f6v,D,B,2024-03-13,25-30,50-54,96-113
50,8f6u,D,B,2024-03-13,23-29,49-57,99-113
51,8evd,L,J,2024-03-13,25-31,51-59,101-115
52,8g0i,A,D,2024-03-20,26-32,52-56,98-105
53,8jtx,A,B,2024-03-27,24-30,50-54,96-109
54,8pnv,I,L,2024-04-03,24-30,50-55,97-105
55,8pij,A,B,2024-04-03,26-32,52-57,99-116
56,8pjp,A,C,2024-04-03,26-32,52-57,99-115
57,8sne,A,C,2024-05-01,26-32,52-56,98-111
58,8oud,C,F,2024-05-01,26-32,52-56,98-105
59,8pih,A,C,2024-05-08,26-32,52-56,98-106
60,8tnh,C,H,2024-05-08,26-32,52-57,99-114
